,PT,Deterministic,PT_10,PT_20,PT_50
0,247266.16947062468,275272.3663429493,248010.59813079948,245295.13729694154,250504.7224034014
1,158553.4321615204,188433.0542768442,207162.69402009447,161111.0436966722,160674.42708512966
2,331691.7887250381,320171.54477924976,486877.29315316444,324078.34416886786,331955.9954709528
3,389291.6399128981,367396.0363414411,366784.1529882652,382766.8963457069,415849.82407908223
4,337569.59061909537,317354.1106253932,315478.83873907867,325716.3309594525,358622.8710055943
5,316939.4714876043,298130.42401665775,293430.0059370186,303242.30790841376,328872.1871539271
6,353215.4115181458,343675.7771172991,328079.2940165418,339280.32360333874,369573.4172457653
7,378255.6232272848,361123.0940504157,354476.88655552635,367620.7084657508,387871.9854340885
8,481734.66251572396,446585.29090175,454545.27992069605,460669.7876876727,481442.97855789727
9,431660.02596050664,437988.124934518,403032.20616629574,430025.93858239584,439644.27069870813
10,411247.5891870079,381589.8615870914,388304.1156227471,410179.76746384485,419036.26449375594
11,417818.59144384897,387818.9762101556,389689.9639113531,415457.85902809753,430466.4654967445
12,421186.16821938514,401950.3143975691,394813.58058324654,404063.2262608686,418736.4422151362
13,418923.67905879166,402877.86777839524,403021.09724145185,407940.85687163036,416454.501902191
14,369225.244797381,347085.32254813635,348058.95139225654,365289.2170519921,389867.97254856635
15,308072.94606499915,283836.2605003149,280036.5568561918,284212.47610926087,312088.3405725485
16,324437.2675780438,301214.00313584396,300869.6117151904,309060.3202197264,336844.37690148083
17,292767.63604874397,275544.45496612025,281135.59294361336,286770.56336855044,303055.153274478
18,234984.35148818843,252691.66609245565,225661.38023643952,224878.63885641153,235359.26798084774
19,277911.1244798113,264263.0577989904,261475.37607483022,274919.46009609796,285702.4388055158
20,283938.79318183335,284956.0044049893,266724.0226666471,270559.2012530845,277567.4401933743
21,490744.7938346988,452127.64653093764,475116.41208812385,475469.4938905337,499593.3827423892
22,465991.8166017834,433778.00672134344,446679.09711807227,452975.95324303716,467270.36300735513
23,404583.88916487945,370451.0006110788,376466.53220899904,401090.5294533253,405339.70474856533
24,301668.85242527805,285938.0886933885,284961.8136746038,289824.11530697776,313467.2359615914
25,269726.33301073225,256402.7178222853,252976.4062523317,251502.5421912489,263670.97666847106
26,310087.91843715886,291233.24807373283,297406.84708655975,305672.1105982847,317916.92665504006
27,343585.8453696749,315666.22806982143,315637.0237824991,332008.71031653543,350041.74031644245
28,319669.4231978581,309072.3311055663,296292.2451434265,306747.72837079514,323225.84386222396
29,240152.17698418561,294348.3208576663,236098.5703128075,241173.06534846235,239743.34246142342
30,338429.752373431,317893.7009051123,320163.63062164054,319970.63262238784,335333.0087055518
31,276061.6789684707,279001.9219219503,263235.00977268367,268521.5732580186,284714.82146865607
32,171759.70748778418,368063.6142814532,227676.41084726894,201551.7558023029,191339.59220858198
33,277082.61338107235,275014.74155150715,429004.6924690899,310907.6496440791,281686.1272166724
34,323942.9317565485,296290.73596386093,305512.24344722927,314301.6195874825,330428.31955159036
35,258737.65099198493,252520.38395538813,254518.2158639789,267524.2563781766,265165.0792698999
36,222776.62716464468,262373.41623522126,243854.89286135096,241293.26019938133,229605.45743588204
37,281614.52841118095,259843.58865618324,261447.71358581196,263767.7462283496,285430.2686653914
38,242906.7060569925,264454.09360928653,230154.94271027166,236055.9374232657,242539.05641630077
