,sc_LOAD,sc_LOAD_24,sc_LOAD_168,LOAD,LOAD_24,LOAD_168,Temperature,Hour,Day,Month
2009-01-01 00:00:00,0.6837209302325582,0.5142857142857142,0.4323920265780731,205,145.0,116.0,30.16,0,3,1
2009-01-01 01:00:00,0.675249169435216,0.486046511627907,0.3956810631229236,202,135.0,103.0,28.96,1,3,1
2009-01-01 02:00:00,0.675249169435216,0.47192691029900335,0.370265780730897,202,130.0,94.0,28.12,2,3,1
2009-01-01 03:00:00,0.6780730897009967,0.4634551495016611,0.3533222591362126,203,127.0,88.0,27.0,3,3,1
2009-01-01 04:00:00,0.6837209302325582,0.4634551495016611,0.3448504983388704,205,127.0,85.0,26.24,4,3,1
2009-01-01 05:00:00,0.7006644518272426,0.47475083056478407,0.3448504983388704,211,131.0,85.0,25.44,5,3,1
2009-01-01 06:00:00,0.7260797342192691,0.49734219269102986,0.3533222591362126,220,139.0,88.0,24.84,6,3,1
2009-01-01 07:00:00,0.7543189368770764,0.5284053156146179,0.3730897009966777,230,150.0,95.0,23.88,7,3,1
2009-01-01 08:00:00,0.7740863787375416,0.5453488372093023,0.40697674418604646,237,156.0,107.0,24.72,8,3,1
2009-01-01 09:00:00,0.7684385382059801,0.5368770764119601,0.44651162790697674,235,153.0,121.0,27.76,9,3,1
2009-01-01 10:00:00,0.7514950166112957,0.5114617940199335,0.47192691029900335,229,144.0,130.0,31.0,10,3,1
2009-01-01 11:00:00,0.7260797342192691,0.49169435215946844,0.4775747508305648,220,137.0,132.0,33.64,11,3,1
2009-01-01 12:00:00,0.6893687707641196,0.4803986710963455,0.47475083056478407,207,133.0,131.0,36.0,12,3,1
2009-01-01 13:00:00,0.6441860465116279,0.46910299003322253,0.4606312292358804,191,129.0,126.0,37.48,13,3,1
2009-01-01 14:00:00,0.6046511627906976,0.46910299003322253,0.4352159468438538,177,129.0,117.0,38.76,14,3,1
2009-01-01 15:00:00,0.5764119601328903,0.47475083056478407,0.4154485049833887,167,131.0,110.0,39.56,15,3,1
2009-01-01 16:00:00,0.5679401993355482,0.5001661129568106,0.40415282392026575,164,140.0,106.0,39.2,16,3,1
2009-01-01 17:00:00,0.5990033222591362,0.5594684385382059,0.40132890365448504,175,161.0,105.0,36.76,17,3,1
2009-01-01 18:00:00,0.695016611295681,0.6611295681063123,0.443687707641196,209,197.0,120.0,33.0,18,3,1
2009-01-01 19:00:00,0.7458471760797343,0.706312292358804,0.47192691029900335,227,213.0,130.0,30.84,19,3,1
2009-01-01 20:00:00,0.7599667774086379,0.7091362126245847,0.486046511627907,232,214.0,135.0,29.48,20,3,1
2009-01-01 21:00:00,0.7656146179401994,0.7091362126245847,0.5029900332225914,234,214.0,141.0,28.84,21,3,1
2009-01-01 22:00:00,0.7599667774086379,0.7034883720930233,0.5114617940199335,232,212.0,144.0,28.52,22,3,1
2009-01-01 23:00:00,0.737375415282392,0.6893687707641196,0.5086378737541528,224,207.0,143.0,27.76,23,3,1
2009-01-02 00:00:00,0.7147840531561462,0.6837209302325582,0.49451827242524915,216,205.0,138.0,27.64,0,4,1
2009-01-02 01:00:00,0.6978405315614619,0.675249169435216,0.4803986710963455,210,202.0,133.0,27.32,1,4,1
2009-01-02 02:00:00,0.695016611295681,0.675249169435216,0.4775747508305648,209,202.0,132.0,27.4,2,4,1
2009-01-02 03:00:00,0.6978405315614619,0.6780730897009967,0.4803986710963455,210,203.0,133.0,27.56,3,4,1
2009-01-02 04:00:00,0.6978405315614619,0.6837209302325582,0.49169435215946844,210,205.0,137.0,28.08,4,4,1
2009-01-02 05:00:00,0.706312292358804,0.7006644518272426,0.5086378737541528,213,211.0,143.0,28.92,5,4,1
2009-01-02 06:00:00,0.7232558139534884,0.7260797342192691,0.5312292358803986,219,220.0,151.0,29.88,6,4,1
2009-01-02 07:00:00,0.7514950166112957,0.7543189368770764,0.5651162790697675,229,230.0,163.0,30.52,7,4,1
2009-01-02 08:00:00,0.7627906976744186,0.7740863787375416,0.5877076411960133,233,237.0,171.0,32.52,8,4,1
2009-01-02 09:00:00,0.737375415282392,0.7684385382059801,0.5933554817275748,224,235.0,173.0,35.84,9,4,1
2009-01-02 10:00:00,0.6921926910299003,0.7514950166112957,0.5735880398671096,208,229.0,166.0,39.96,10,4,1
2009-01-02 11:00:00,0.6526578073089702,0.7260797342192691,0.5509966777408638,194,220.0,158.0,42.48,11,4,1
2009-01-02 12:00:00,0.6300664451827243,0.6893687707641196,0.5284053156146179,186,207.0,150.0,44.0,12,4,1
2009-01-02 13:00:00,0.6131229235880399,0.6441860465116279,0.5114617940199335,180,191.0,144.0,45.04,13,4,1
2009-01-02 14:00:00,0.6018272425249169,0.6046511627906976,0.49451827242524915,176,177.0,138.0,46.2,14,4,1
2009-01-02 15:00:00,0.5933554817275748,0.5764119601328903,0.486046511627907,173,167.0,135.0,46.52,15,4,1
2009-01-02 16:00:00,0.5990033222591362,0.5679401993355482,0.49169435215946844,175,164.0,137.0,46.6,16,4,1
2009-01-02 17:00:00,0.6102990033222592,0.5990033222591362,0.5142857142857142,179,175.0,145.0,46.24,17,4,1
2009-01-02 18:00:00,0.6498338870431893,0.695016611295681,0.5622923588039866,193,209.0,162.0,45.24,18,4,1
2009-01-02 19:00:00,0.6611295681063123,0.7458471760797343,0.5679401993355482,197,227.0,164.0,44.64,19,4,1
2009-01-02 20:00:00,0.6526578073089702,0.7599667774086379,0.5594684385382059,194,232.0,161.0,42.68,20,4,1
2009-01-02 21:00:00,0.6441860465116279,0.7656146179401994,0.5509966777408638,191,234.0,158.0,41.64,21,4,1
2009-01-02 22:00:00,0.6300664451827243,0.7599667774086379,0.5340531561461794,186,232.0,152.0,41.2,22,4,1
2009-01-02 23:00:00,0.6046511627906976,0.737375415282392,0.5058139534883721,177,224.0,142.0,41.24,23,4,1
2009-01-03 00:00:00,0.5792358803986711,0.7147840531561462,0.47475083056478407,168,216.0,131.0,41.08,0,5,1
