,LR_PO,NN_PO,LR_DO,NN_DO
0,32632.86718818325,33519.11529814318,34772.9478946,34772.9478946
1,34772.9478946,34267.68902702157,34772.9478946,34772.9478946
2,33912.862837772125,33745.3441194763,34772.9478946,34772.9478946
3,32749.108510103997,33298.19319735245,34772.9478946,34508.0677096543
4,31608.627970730286,32980.02174699719,34628.00660195581,34402.96255803606
5,30812.29056357856,32775.671492021094,34062.37552893515,34423.990520923144
6,30689.956946716226,32753.087824739905,33956.822547653865,34437.42343671784
7,30938.926550210374,32783.85029114671,34113.01476949192,34388.64455013926
8,30998.735412296486,32756.523449895096,34075.937051329565,34323.9027104825
9,31478.30367455412,31542.200774969635,33851.3369759718,33365.88985347261
10,30033.148932950553,30677.268846028175,32517.421775639024,33136.34443340842
11,31738.069729517836,33142.85628197962,33825.74135954362,34772.9478946
12,32591.64200878779,34350.799488942175,34481.316927264605,34772.9478946
13,33326.158600854054,34772.9478946,34772.9478946,34772.9478946
14,32835.1769238182,33757.18219731111,34772.9478946,34772.9478946
15,32999.28057079013,33666.416478346015,34772.9478946,34772.9478946
16,33090.00529821598,33857.62430006394,34772.9478946,34772.9478946
17,33020.23804680946,33654.43835576244,34772.9478946,34772.9478946
18,33447.51294958505,34110.44461159428,34772.9478946,34772.9478946
19,33456.99743955244,34147.79446480534,34772.9478946,34772.9478946
20,32405.613113875916,33238.23732311712,34772.9478946,34650.94676789266
21,32047.05884283796,33064.449454031965,34772.9478946,34380.16992680345
22,32026.017061273345,32755.763306507484,34772.9478946,34232.04572242406
23,31452.09974600618,32470.229017769783,34519.569929757236,33969.574516179244
24,30692.046702353782,32188.43250711953,34001.28745212891,33826.35199413021
25,29591.541622983925,31622.90022603089,33235.194078729844,33670.904413213786
26,29004.16329007363,31142.31611678963,32829.37888542171,33484.47524114684
27,28097.471317629876,30441.10880823635,32189.407246440584,33239.08235266672
28,27544.97829421128,30016.972951604042,31795.358482866104,32694.630406091776
29,26933.960965100363,29590.465856356543,31351.836995752914,32125.71103940432
30,26350.040785273337,28958.54121650944,30909.787488105256,31654.598182069618
31,26124.571062217765,28451.01254405384,30698.871038834557,31366.325008220367
32,25919.652383489403,28346.771872644753,30464.90433870011,31308.166026557596
33,26839.334377306786,28967.223061946555,30965.428915743676,31696.776037351417
34,28483.86941103182,29883.552342673942,31858.51146491501,32304.0158741924
35,29497.028371570777,31194.050690756674,32570.74840060579,33337.010210910405
36,29988.836730668405,31665.210694167665,32870.63715996925,33743.26899537966
37,30706.308506553734,32357.656728918846,33339.974491426074,34232.63545480934
38,31552.972840537674,32997.79570163379,33830.694832883884,34699.03462624442
39,31562.679126085626,33242.164730619785,33935.53679095063,34772.9478946
40,31297.82872677679,33005.43394660888,33954.67136276912,34772.9478946
41,31916.29165224072,32800.539537658704,34452.220598548825,34730.644038235936
42,32010.109789337,33195.50312091048,34413.25123116799,34772.9478946
43,32030.007291503272,32569.561155571428,34504.22820752048,34548.676767635334
44,31739.92073556711,31984.367334944625,34330.69557753797,34204.09976958201
45,32375.625422397643,31706.90524410586,34772.9478946,33968.61092469889
46,33401.86463214588,32234.941763005958,34772.9478946,34151.92201088554
47,34301.10787290642,32798.544538667076,34772.9478946,34343.883502114826
48,34516.86399464359,33009.25196592468,34772.9478946,34439.918085413265
49,32814.40420003378,32058.966826923814,34772.9478946,33983.51791017925
50,32763.315039593817,32142.893113373848,34772.9478946,33993.721610056695
51,32648.271413808092,32114.849326617332,34772.9478946,34010.80137936315
52,32798.84808507942,32060.824103633477,34772.9478946,33982.70028573804
53,32099.622305210258,31590.94656639615,34728.91419237717,33795.84360559265
54,32113.659991362838,31292.73462807105,34698.415652550444,33759.46645954418
55,32041.49258662932,31212.96996990168,34611.455803496654,33801.973988989965
56,31913.672838663362,31494.11363513104,34388.96278615419,34111.25004308472
57,32971.54149167937,32953.656174759126,34639.83569474713,34528.132197184364
58,32908.79215436241,32789.401683567754,34678.085242570385,34608.75915825025
59,32995.786767841295,32865.327420220005,34711.51181065739,34705.97113787222
60,33405.28074857985,32960.44311952422,34772.9478946,34772.9478946
61,33702.46476309389,33116.72585950628,34772.9478946,34772.9478946
62,33823.75373438413,33087.991835613204,34772.9478946,34738.97797451574
63,33480.52031241246,32864.66005938154,34772.9478946,34671.91824403224
64,32353.05034824366,33018.88451315135,34327.94598004825,34587.75353459082
65,31220.660586503378,33207.53233776393,33335.770013632726,34772.9478946
66,29862.157313907202,30987.08777674027,32114.761769618515,33561.613886091734
67,29135.14902479789,29413.671321736398,31494.8250067156,32306.494410774307
68,29124.125203827414,29221.92846172663,31550.232329699356,32105.367391363434
69,29368.300074587914,29843.629602666726,32198.197318831146,32397.17141150717
70,30362.28474912589,32660.487821486597,33367.71972507389,34584.926032854964
71,30441.473900019217,32444.213441280303,33595.29302244455,34772.9478946
72,29747.71590376586,31759.34909943733,33167.210714081724,34469.71571201379
73,30707.76237077813,31968.42383252601,33826.739439656136,34368.99050055657
74,30809.0251752407,32459.75074425348,33932.67214426121,34772.9478946
75,31782.53335663614,33254.51746710016,34643.31170179402,34772.9478946
76,32714.55879706665,33708.315056993655,34772.9478946,34772.9478946
77,32996.16173010811,33811.73525893969,34772.9478946,34772.9478946
78,32995.841810304744,33856.60044056981,34772.9478946,34772.9478946
79,33202.814246435075,34002.68609970485,34772.9478946,34772.9478946
80,33863.20170411328,34627.36474470602,34772.9478946,34772.9478946
81,33390.66558105443,34405.38500704446,34772.9478946,34772.9478946
82,31969.556035096924,33212.17611015479,34632.87511655699,34772.9478946
83,31248.77009907068,33158.84135655418,33762.61340207462,34659.140002601045
84,30307.52098169578,31699.92901829557,32566.771872930054,34127.02725687959
85,29382.769971814232,30036.392954593743,31614.707027611046,32856.07691878394
86,28635.020660592476,29094.91182278431,30948.794014955085,32152.282614448624
87,28071.763467993005,28467.682281844613,30498.666503241464,31707.945941484377
88,27835.726985435584,28134.228999865518,30347.223087355844,31433.03368695865
89,27451.115797998893,27454.444357434044,30115.885884146097,30868.345158062857
90,27116.364721565176,26850.65500953585,29917.281992679924,30324.729531786965
91,26926.240156430107,26553.328163312857,29796.672575178916,30067.288266102194
92,26684.899624167138,26175.311388142538,29661.90261303097,29700.04402099328
93,26455.29498119924,25890.11989550631,29842.78283126702,29366.932141635567
94,25974.606593198114,26169.09275100637,29901.903081943336,29712.95600748202
95,24694.17025553164,25478.924359457847,29307.726424180564,29188.102197101263
96,22602.849275342276,23271.4465951397,27915.77126860914,27479.8581827725
97,22948.123913395135,24016.36017438384,28243.968808192374,28015.26203089405
98,23803.041597689353,25259.785680932153,28895.564277444893,28927.40251047907
99,24434.14872921859,26192.366655424124,29365.05698193145,29582.130058474435
100,25215.734059426322,27312.705136876244,29920.790311046334,30427.04255574198
101,26232.44592969448,28395.705319389686,30592.430991354377,31373.23481147983
102,27096.326013416725,28108.948019628715,31070.169846504097,30809.843612545297
103,28135.80874179113,27274.637118865197,31578.466558734468,30066.700217505364
104,30158.818076648477,30235.083241825327,32748.397603012803,32990.731802701346
105,30419.566999567087,31793.75551627237,32801.788095816904,33938.2312588844
106,29537.512219559805,30519.28211214605,32077.788097969344,33026.905616780416
107,31029.636065478608,31108.859588880754,33808.60846380884,32725.03637384291
108,28913.7343287963,30100.806571628273,32058.025763371537,32527.931402457292
109,30373.70942786814,31431.127870692613,32967.065285269,33680.45184203178
110,31176.27801347682,32461.93084385003,33466.03671263195,34490.852511501864
111,30980.30617364884,31980.71432689582,33322.560286898675,34245.61212199879
112,30276.73018119387,31141.815857438294,32888.3294798974,33566.47097705929
113,29357.610688838387,30029.47153900022,32235.965041883384,32703.281362720292
114,29307.91547297907,29711.816605263986,32170.67794508081,32499.497441276337
115,29385.635895860403,29401.382685340035,32111.735130868943,32299.936693483567
116,28970.250165189493,28724.27306018278,31799.419780580483,31780.77269454586
117,28064.77702332874,28646.93259287191,31627.381657991584,31741.445899522638
118,27918.073762206688,28135.260639623466,31604.92317167157,31749.876221804
119,27952.416543451072,27898.547390236992,31667.239833421423,31883.39228412008
120,28534.224671959146,28141.149486472314,32106.152152899253,32174.927827100335
121,29057.552621644325,28555.54445280117,32494.22497711943,32455.581451832335
122,29583.78922876502,29111.98334733358,32904.05246409221,32696.73549001029
123,29741.277561269264,29320.370862492546,33031.67631198256,32758.15126688372
124,29700.774669052375,29244.86978889689,33009.09659289495,32713.01807258348
125,29662.682497386482,29250.346630133263,33000.24776209404,32641.29425901108
126,29613.520984400595,29240.721863170416,32952.70733094303,32643.062120748473
127,29495.90476212707,29295.966381230643,32830.45418755573,32665.53221940255
128,28024.907235564842,28780.17344287075,31729.476370066262,32007.238059123796
