,LR_PO,NN_PO,LR_DO,NN_DO
0,2495.8155630376473,900.5689651097794,-602.813203783333,-602.813203783333
1,-665.9781266417349,-261.77103257899216,-665.9781266417349,-665.9781266417349
2,-304.71997441117855,-170.70499977451774,-992.7880198734803,-992.7880198734803
3,2663.5111179141813,1675.1586808669758,-435.2887885238324,-223.38464056726957
4,2732.8598271968076,264.3510299163823,-1200.8985373373891,-1020.8633022015944
5,2312.513371722461,-542.9210219884901,-1572.2842515197297,-1861.5762451101273
6,3366.903224911562,-154.10326912491774,-1117.091047456081,-1501.5717587072666
7,2603.6197709320777,-318.77465011258715,-1382.1062327887591,-1602.6100573066274
8,2424.903231646892,-328.49566045804715,-1384.0265416056243,-1582.3990689279708
9,1042.629414570505,927.6146338225834,-1435.0357902139158,-1046.6780922145626
10,5788.082797745752,4628.666954206034,1316.391680906508,202.33089692159223
11,3306.247475804503,777.631681373291,-200.6939814408493,-958.4592094859498
12,1967.5509474757728,-532.8588963564977,-637.2728470144391,-870.5776208827581
13,889.498629040018,-762.0987109789734,-762.0987109789734,-762.0987109789734
14,1844.326300987364,184.71680870014234,-730.5161984088303,-730.5161984088303
15,1345.0267947336781,144.18216113307764,-821.144172499596,-821.144172499596
16,560.7149023787093,-364.88857819893826,-1097.147453827788,-1097.147453827788
17,1199.1677298339653,57.607173718608,-869.2044427506688,-869.2044427506688
18,19.15756789017779,-521.8308549895224,-1051.8334813941033,-1051.8334813941033
19,215.2671170341387,-456.9633459649229,-957.0860898006514,-957.0860898006514
20,1227.2259820044915,-120.66559761319171,-1348.4340547994925,-1250.833153433618
21,3510.1059462035587,1678.8028460543517,-620.6641542080497,-306.4417799708106
22,1511.941781290674,198.39853986922472,-1525.570541643245,-1092.8488039024946
23,3428.615586568806,1595.9828973943204,-930.1469974147071,-490.15066655231465
24,3798.773649191852,1105.2792006135073,-959.048755734833,-819.100389335869
25,5467.6343737937395,1811.1888883092,-484.86224291062814,-833.4305104977802
26,5857.564049993822,2008.8889619050292,-456.8106762812098,-980.8877608613124
27,6735.7498303537905,2517.202347262134,-279.8821517802145,-1119.6222367611228
28,6682.8664300903765,2233.2760467834064,-430.1412931059135,-1149.5588316864494
29,7949.535477906877,3167.826673645753,-1.1739454523168957,-620.2731803734413
30,7755.487384821459,3060.1866085964807,-200.91408012266274,-796.7626352941533
31,10472.345622903484,6284.75095559855,2238.605664993261,1037.1885200988015
32,8341.721425798485,3972.9063453188555,160.2679064192093,-603.3791696552267
33,7671.872912700221,3841.673280348634,244.90274351381933,-476.2320335022742
34,6516.029983742753,3996.6007067869364,441.67428675301755,-160.1038444205705
35,3200.072338546811,145.43216401219453,-1036.721650540538,-1649.73109878423
36,3198.4397327103975,180.96659841172934,-883.9115733471641,-1582.0170416754906
37,563.0192006588676,-1070.8478220437044,-1856.7020320494846,-2570.8308027560934
38,1998.8499159645303,-267.480548448212,-933.7998534482869,-1628.4716881367153
39,3482.9189719666833,459.84488380520105,-350.32214435125786,-1020.251027270751
40,6234.359770154675,3160.6703744569154,1452.0430253684729,-9.268769745380641
41,5141.981236246696,3550.335042494339,577.3091328921118,76.14694145531945
42,4973.108589473401,2839.400592641139,647.4539941776175,0.0
43,4638.085697618146,3666.88874229547,184.48804878718158,104.48064058043778
44,5298.790200931473,4858.786322051941,635.3954853839224,863.2679397046561
45,4315.1804499642385,5518.876770889453,0.0,1447.8065458219976
46,2467.9498724174173,4568.411036869272,0.0,1117.846590686039
47,849.3120390484452,3553.9260406792605,0.0,772.3159064733118
48,381.0078753882561,3094.709527082274,-35.53028645924208,519.5105120028338
49,2317.4457788552704,3677.2330504532033,-536.8590539395249,213.04110059341508
50,833.6191673322634,1950.3786345282106,-1237.208876301716,-613.8278486670691
51,1720.407324086945,2680.567081030309,-935.1157072615513,-325.39849507206753
52,-208.56245704464257,859.1776382522567,-1787.842304661104,-1155.6442175715363
53,-1648.4894058183033,-1241.5488147670153,-3751.9229155518306,-3005.466446124218
54,-489.7950772465304,375.6267301205219,-2557.599606196612,-1806.440251791602
55,-2056.498445752305,-1393.6803523701942,-4112.469019246169,-3464.8835676408185
56,-414.94067509614695,-79.2933122702924,-2395.172633088809,-2173.002438633235
57,619.4703046586528,651.6638751150889,-1059.3152270503701,-969.9524290001538
58,-35.619054526772516,134.75997474514745,-1451.0535250931534,-1395.5926576370425
59,-1654.1288330126179,-1549.7613549155872,-3026.7088672654886,-3022.2763290373578
60,-865.3524352188657,-509.48233197436497,-1959.4861520349882,-1959.4861520349882
61,-954.7993747391051,-486.20825186901845,-1811.185879943991,-1811.185879943991
62,-232.05954279209033,802.2374465054662,-991.4148709647864,-964.2389348973785
63,-818.4383545132589,-325.7501520885244,-1852.3804202632928,-1771.556699809086
64,530.9041366927067,-296.70993784050313,-1343.959111358024,-1551.8051549920754
65,3814.310058846636,237.9409065776574,7.113090013815366,-1146.5809314343455
66,2817.81357431773,792.938741218206,-549.7219759833914,-1707.203669161965
67,-599.2550216344168,-822.0728591852226,-2486.9958071685846,-3136.3313304155513
68,1606.6289809423245,1430.583116723736,-1226.8283758342973,-1670.9364251655597
69,2267.007968871527,1411.4148183296659,-1256.358698118352,-1415.5379722591724
70,4447.957794433112,311.19226418384704,-427.47784989923474,-1401.242896124096
71,1639.1018129738218,-873.7019383538367,-1794.5656032852332,-2736.6895010095923
72,2863.1495258733758,-336.79565614900963,-1463.0849478645218,-2505.0889462101795
73,-533.6282509171145,-1542.157420315418,-3028.8099060195213,-3462.610754739861
74,517.1607212854925,-1090.7312457500047,-2269.0683657561863,-2941.2889660272203
75,-53.249936702984066,-1230.8372250742,-2341.872612829288,-2445.581567074072
76,-1857.569441926476,-2652.5744498680806,-3504.280719953155,-3504.280719953155
77,-2505.7823097637233,-3158.2411328289836,-3927.2112413572327,-3927.2112413572327
78,-2666.185044637058,-3354.791948849111,-4087.8699120732645,-4087.8699120732645
79,-1924.110279065346,-2564.007761681163,-3180.217197597286,-3180.217197597286
80,-216.8449242852938,-828.1753567594878,-944.6418766746723,-944.6418766746723
81,2488.1081643820266,661.6131975999756,0.0,0.0
82,5046.105347105535,2809.389212001384,252.13100047741156,0.0
83,6343.520031952776,2905.39176848248,1818.6020865456826,204.85420559811644
84,5757.651589967532,3251.317124087906,1690.9999857458358,-496.6487579392569
85,1388.2356295230913,211.71426051997236,-1168.5560315160774,-2161.651944454389
86,240.88577387164102,-260.8525858105153,-1743.9583395471366,-2706.749219141967
87,2224.879673842989,1512.2258089100942,-952.6870176018832,-1920.110568196213
88,1936.0502437394823,1398.7466177656054,-1148.7301065408808,-2017.3785862231257
89,-693.8366353975853,-696.4994829457054,-2825.652704315347,-3427.6201234487576
90,-2949.886960625509,-2737.319191002047,-5190.620777517306,-5516.5788088029385
91,-5633.34376474016,-5335.014170246362,-7929.689699739209,-8146.182252477832
92,-5683.318798050464,-5275.648209230785,-8064.921189141528,-8095.434315511377
93,-5047.868683588364,-4595.728615034018,-7757.858963642588,-7377.178411937424
94,-3169.329812609077,-3324.918738855684,-6311.167003605257,-6160.009344036202
95,-3378.070157439835,-4005.873440580802,-7068.915092358976,-6973.2157106955365
96,-1159.872569787129,-1694.7504256250684,-5410.210164400618,-5061.4796957313065
97,9884.098735486834,7961.273465707159,351.57792485179954,763.2501239887838
98,19106.57598293325,16484.436633096215,9940.03515937328,9882.726339911756
99,16457.263683895293,13292.471416725328,7581.628829012145,7190.897291234774
100,-3734.9024878443824,-5412.479349804319,-7498.947489140392,-7903.94928489691
101,8019.6811692498995,4125.81426779853,171.70805826208513,-548.3283635394334
102,5806.614516397736,3983.8949052161533,-598.3575036264594,-390.0965164594184
103,3499.913423637992,5050.0223449046725,-1198.6091763822285,24.308767352371845
104,-698.6591829171168,-759.6713150585963,-2770.3228040085783,-2964.1901637594115
