,DA Price,Net Load Forecast,System Margin,Day,Hour,Month,DA Price_24,DA Price_144,DA Price_168
2017-01-08 00:00:00,61.07,72416,1.065341929,6,0,1,60,50.18,58.23
2017-01-08 01:00:00,55.47,71283,1.097202209,6,1,1,55.95,49.11,51.95
2017-01-08 02:00:00,50.22,68302,1.081860523,6,2,1,52,45.78,47.27
2017-01-08 03:00:00,47.99,65769,1.045062024,6,3,1,50.78,44.99,45.49
2017-01-08 04:00:00,48,64898,1.03361774,6,4,1,50.74,46.97,44.5
2017-01-08 05:00:00,47.15,65428,1.033724791,6,5,1,54.08,52,44.5
2017-01-08 06:00:00,50.13,67050,1.043142992,6,6,1,56.28,59.07,44.72
2017-01-08 07:00:00,51.3,68820,1.066559378,6,7,1,61.28,64.98,44.22
2017-01-08 08:00:00,54,70956,1.085704024,6,8,1,67.2,65.02,42.06
2017-01-08 09:00:00,58.07,72632,1.080944473,6,9,1,73.48,68.49,45.7
2017-01-08 10:00:00,61.28,72869,1.0695603,6,10,1,70.69,65.99,47.91
2017-01-08 11:00:00,67.1,72620,1.062427243,6,11,1,70.69,65.75,49.57
2017-01-08 12:00:00,64.6,72500,1.08113512,6,12,1,63.73,64.98,48.69
2017-01-08 13:00:00,54.74,68657,1.073006365,6,13,1,55.09,61.19,46.91
2017-01-08 14:00:00,53,66148,1.050063478,6,14,1,53.26,59.71,46.51
2017-01-08 15:00:00,54.08,65773,1.03007106,6,15,1,59.08,60.96,46.52
2017-01-08 16:00:00,60.95,67822,1.013023542,6,16,1,69.99,73.55,51.59
2017-01-08 17:00:00,70.51,73354,1.039925332,6,17,1,76.52,77.42,59.07
2017-01-08 18:00:00,75.52,76146,1.071720149,6,18,1,78.28,75,62.1
2017-01-08 19:00:00,73.2,74978,1.064022647,6,19,1,68.23,70.11,56.26
2017-01-08 20:00:00,68.4,72257,1.04826879,6,20,1,60,61.21,55
2017-01-08 21:00:00,71.21,70736,1.026407573,6,21,1,61.19,60.1,56.02
2017-01-08 22:00:00,65.88,74040,1.074747705,6,22,1,66.09,58.78,52
2017-01-08 23:00:00,58,71162,1.04417208,6,23,1,69.2,54.68,54.99
2017-01-09 00:00:00,52.9,68309,1.019347852,0,0,1,61.07,52.74,50.18
2017-01-09 01:00:00,50.04,67864,1.038339856,0,1,1,55.47,49.25,49.11
2017-01-09 02:00:00,45.75,65318,1.011256382,0,2,1,50.22,45,45.78
2017-01-09 03:00:00,45.02,63823,0.985749653,0,3,1,47.99,45.18,44.99
2017-01-09 04:00:00,52.24,66063,0.997180437,0,4,1,48,49.25,46.97
2017-01-09 05:00:00,65.75,71553,1.006988958,0,5,1,47.15,57.65,52
2017-01-09 06:00:00,78.01,78762,1.050785799,0,6,1,50.13,70.51,59.07
2017-01-09 07:00:00,89.78,82436,1.054677703,0,7,1,51.3,74.04,64.98
2017-01-09 08:00:00,80,82554,1.040089608,0,8,1,54,75.32,65.02
2017-01-09 09:00:00,80,82277,1.040710132,0,9,1,58.07,74.65,68.49
2017-01-09 10:00:00,80,81744,1.044189973,0,10,1,61.28,73.31,65.99
2017-01-09 11:00:00,80,81129,1.046510201,0,11,1,67.1,72.71,65.75
2017-01-09 12:00:00,79.89,80280,1.048860177,0,12,1,64.6,71.69,64.98
2017-01-09 13:00:00,78.7,78364,1.035305284,0,13,1,54.74,70.51,61.19
2017-01-09 14:00:00,77,75825,1.016332327,0,14,1,53,69.94,59.71
2017-01-09 15:00:00,75.75,74685,0.993465374,0,15,1,54.08,71.11,60.96
2017-01-09 16:00:00,77.51,76310,0.99103672,0,16,1,60.95,81.32,73.55
2017-01-09 17:00:00,83.87,80691,1.007985338,0,17,1,70.51,137.21,77.42
2017-01-09 18:00:00,80.1,81933,1.030084437,0,18,1,75.52,90.17,75
2017-01-09 19:00:00,77.07,77347,1.000281253,0,19,1,73.2,74.94,70.11
2017-01-09 20:00:00,66.2,72508,0.973447975,0,20,1,68.4,71.59,61.21
2017-01-09 21:00:00,66.6,69919,0.945211897,0,21,1,71.21,68.73,60.1
2017-01-09 22:00:00,65.82,73085,0.991374911,0,22,1,65.88,67.42,58.78
2017-01-09 23:00:00,59.99,67935,0.962293011,0,23,1,58,62.69,54.68
2017-01-10 00:00:00,55.8,65084,0.957116221,1,0,1,52.9,56.04,52.74
2017-01-10 01:00:00,52.98,64619,0.96053925,1,1,1,50.04,54.1,49.25
2017-01-10 02:00:00,50,62304,0.939467659,1,2,1,45.75,52,45
2017-01-10 03:00:00,49.19,61190,0.926126595,1,3,1,45.02,51.36,45.18
2017-01-10 04:00:00,52.07,63142,0.937833796,1,4,1,52.24,53.02,49.25
2017-01-10 05:00:00,63.55,68393,0.958393036,1,5,1,65.75,62.4,57.65
2017-01-10 06:00:00,80.4,75212,0.99822566,1,6,1,78.01,72.32,70.51
2017-01-10 07:00:00,77.9,78674,1.008535184,1,7,1,89.78,73.01,74.04
2017-01-10 08:00:00,82.73,78330,1.011293188,1,8,1,80,73,75.32
2017-01-10 09:00:00,84.59,77886,1.008824113,1,9,1,80,72.85,74.65
2017-01-10 10:00:00,84.09,77659,1.009219727,1,10,1,80,72.51,73.31
2017-01-10 11:00:00,82.06,77014,1.006894838,1,11,1,80,71.72,72.71
2017-01-10 12:00:00,80,76407,1.004194024,1,12,1,79.89,71.59,71.69
2017-01-10 13:00:00,77.79,74563,0.999349913,1,13,1,78.7,69,70.51
2017-01-10 14:00:00,75.69,72168,0.973273598,1,14,1,77,67.13,69.94
2017-01-10 15:00:00,75.85,71856,0.960104879,1,15,1,75.75,68.26,71.11
2017-01-10 16:00:00,88.38,73953,0.941973447,1,16,1,77.51,72.15,81.32
2017-01-10 17:00:00,103.3,78740,0.972071747,1,17,1,83.87,76.8,137.21
2017-01-10 18:00:00,88.26,81094,1.012630396,1,18,1,80.1,76.16,90.17
2017-01-10 19:00:00,79.67,76941,1.004377401,1,19,1,77.07,72.48,74.94
2017-01-10 20:00:00,70.49,72238,0.980769231,1,20,1,66.2,66.16,71.59
2017-01-10 21:00:00,68.39,69433,0.95142513,1,21,1,66.6,64.98,68.73
2017-01-10 22:00:00,70.21,72687,1.009175557,1,22,1,65.82,61.95,67.42
2017-01-10 23:00:00,66.76,69663,1.015486882,1,23,1,59.99,51.22,62.69
2017-01-11 00:00:00,64.79,66620,1.005344314,2,0,1,55.8,48.41,56.04
2017-01-11 01:00:00,62.05,66013,1.009608998,2,1,1,52.98,50,54.1
2017-01-11 02:00:00,53.34,62756,0.982767703,2,2,1,50,47.46,52
2017-01-11 03:00:00,50.62,61000,0.958557799,2,3,1,49.19,42.34,51.36
2017-01-11 04:00:00,58.3,62441,0.958082075,2,4,1,52.07,45.18,53.02
2017-01-11 05:00:00,75.8,66731,0.964863743,2,5,1,63.55,54.09,62.4
2017-01-11 06:00:00,90.7,73169,0.989264599,2,6,1,80.4,66.21,72.32
2017-01-11 07:00:00,96.88,77059,1.008842242,2,7,1,77.9,69.7,73.01
2017-01-11 08:00:00,93.1,76664,0.99441451,2,8,1,82.73,72.6,73
2017-01-11 09:00:00,82.57,75652,0.993990399,2,9,1,84.59,73.03,72.85
2017-01-11 10:00:00,81.61,74185,0.990680312,2,10,1,84.09,72.6,72.51
2017-01-11 11:00:00,79.98,73260,0.988508588,2,11,1,82.06,72.54,71.72
2017-01-11 12:00:00,79.56,72372,0.988188879,2,12,1,80,71.51,71.59
2017-01-11 13:00:00,79.82,70597,0.971846508,2,13,1,77.79,71.1,69
2017-01-11 14:00:00,78.87,68418,0.947313945,2,14,1,75.69,70.51,67.13
2017-01-11 15:00:00,79.56,67652,0.934946973,2,15,1,75.85,69.7,68.26
2017-01-11 16:00:00,83.65,70292,0.946872376,2,16,1,88.38,74.31,72.15
2017-01-11 17:00:00,95.76,74758,0.965785004,2,17,1,103.3,96.93,76.8
2017-01-11 18:00:00,88.44,76235,0.992754247,2,18,1,88.26,89.53,76.16
2017-01-11 19:00:00,85,72602,0.977041432,2,19,1,79.67,73.69,72.48
2017-01-11 20:00:00,77.6,68569,0.94921008,2,20,1,70.49,71.68,66.16
2017-01-11 21:00:00,77.95,66436,0.921152487,2,21,1,68.39,66.76,64.98
2017-01-11 22:00:00,77.51,69190,0.954053913,2,22,1,70.21,69.2,61.95
2017-01-11 23:00:00,67.19,66430,0.933886946,2,23,1,66.76,59.58,51.22
2017-01-12 00:00:00,60.37,63381,0.920579359,3,0,1,64.79,53.98,48.41
2017-01-12 01:00:00,60.71,62689,0.922563343,3,1,1,62.05,52.11,50
2017-01-12 02:00:00,51.37,59545,0.900739509,3,2,1,53.34,48.14,47.46
2017-01-12 03:00:00,48.46,58049,0.881025612,3,3,1,50.62,46.74,42.34
2017-01-12 04:00:00,60.01,59911,0.887795109,3,4,1,58.3,48.41,45.18
2017-01-12 05:00:00,73.69,64624,0.902679264,3,5,1,75.8,53.29,54.09
2017-01-12 06:00:00,82.87,72242,0.951036859,3,6,1,90.7,73.28,66.21
2017-01-12 07:00:00,87,75693,0.968951478,3,7,1,96.88,86.03,69.7
2017-01-12 08:00:00,88.01,75366,0.96338876,3,8,1,93.1,76.14,72.6
2017-01-12 09:00:00,86.71,74785,0.957245879,3,9,1,82.57,72.86,73.03
2017-01-12 10:00:00,86.4,73832,0.958193507,3,10,1,81.61,75.08,72.6
2017-01-12 11:00:00,82.94,72998,0.957076209,3,11,1,79.98,84.9,72.54
2017-01-12 12:00:00,81.19,72498,0.963318137,3,12,1,79.56,70.99,71.51
2017-01-12 13:00:00,79.69,70911,0.953652965,3,13,1,79.82,68.53,71.1
2017-01-12 14:00:00,76.98,68535,0.932718639,3,14,1,78.87,65.62,70.51
2017-01-12 15:00:00,77.15,67894,0.925542202,3,15,1,79.56,66.21,69.7
2017-01-12 16:00:00,79.97,69326,0.930471233,3,16,1,83.65,71.01,74.31
2017-01-12 17:00:00,89.85,73464,0.951819005,3,17,1,95.76,169.32,96.93
2017-01-12 18:00:00,81.28,74368,0.97447768,3,18,1,88.44,107.85,89.53
2017-01-12 19:00:00,78.33,69987,0.950710725,3,19,1,85,85.17,73.69
2017-01-12 20:00:00,70.04,65205,0.916732732,3,20,1,77.6,78.07,71.68
2017-01-12 21:00:00,69.21,62682,0.895174667,3,21,1,77.95,78.57,66.76
2017-01-12 22:00:00,64.28,65169,0.944928582,3,22,1,77.51,106.13,69.2
2017-01-12 23:00:00,59.2,60840,0.950707093,3,23,1,67.19,66,59.58
2017-01-13 00:00:00,53.2,57957,0.939968294,4,0,1,60.37,60,53.98
2017-01-13 01:00:00,50.16,57440,0.939694635,4,1,1,60.71,55.95,52.11
2017-01-13 02:00:00,46.34,54957,0.912964969,4,2,1,51.37,52,48.14
2017-01-13 03:00:00,43.66,54188,0.894647985,4,3,1,48.46,50.78,46.74
2017-01-13 04:00:00,48.52,56561,0.915102053,4,4,1,60.01,50.74,48.41
2017-01-13 05:00:00,61.69,62390,0.948801803,4,5,1,73.69,54.08,53.29
2017-01-13 06:00:00,99,71130,0.986114682,4,6,1,82.87,56.28,73.28
2017-01-13 07:00:00,87.45,75213,1.007810059,4,7,1,87,61.28,86.03
2017-01-13 08:00:00,96.8,74974,0.994462162,4,8,1,88.01,67.2,76.14
2017-01-13 09:00:00,104.48,73717,0.98364293,4,9,1,86.71,73.48,72.86
2017-01-13 10:00:00,99.82,71919,0.976846938,4,10,1,86.4,70.69,75.08
2017-01-13 11:00:00,96.48,70512,0.976198174,4,11,1,82.94,70.69,84.9
2017-01-13 12:00:00,89.9,69837,0.98311605,4,12,1,81.19,63.73,70.99
2017-01-13 13:00:00,80.73,68244,0.974402057,4,13,1,79.69,55.09,68.53
2017-01-13 14:00:00,72.97,66236,0.957404227,4,14,1,76.98,53.26,65.62
2017-01-13 15:00:00,75.59,66295,0.951832488,4,15,1,77.15,59.08,66.21
2017-01-13 16:00:00,105.44,69426,0.959636057,4,16,1,79.97,69.99,71.01
2017-01-13 17:00:00,105.82,74428,0.985164862,4,17,1,89.85,76.52,169.32
2017-01-13 18:00:00,96.02,75321,1.008426069,4,18,1,81.28,78.28,107.85
2017-01-13 19:00:00,85,71748,1.000561182,4,19,1,78.33,68.23,85.17
2017-01-13 20:00:00,81.19,67825,0.971982871,4,20,1,70.04,60,78.07
2017-01-13 21:00:00,81.19,65852,0.960466967,4,21,1,69.21,61.19,78.57
2017-01-13 22:00:00,81.08,69368,1.012118612,4,22,1,64.28,66.09,106.13
2017-01-13 23:00:00,75,66674,0.998609792,4,23,1,59.2,69.2,66
2017-01-14 00:00:00,65.13,63700,0.982201153,5,0,1,53.2,61.07,60
2017-01-14 01:00:00,59.71,62566,0.973872075,5,1,1,50.16,55.47,55.95
2017-01-14 02:00:00,55.25,59884,0.938318406,5,2,1,46.34,50.22,52
2017-01-14 03:00:00,50.01,58303,0.919788595,5,3,1,43.66,47.99,50.78
2017-01-14 04:00:00,52.93,58650,0.924841957,5,4,1,48.52,48,50.74
2017-01-14 05:00:00,55.99,60747,0.948726537,5,5,1,61.69,47.15,54.08
2017-01-14 06:00:00,61.25,63179,0.961744573,5,6,1,99,50.13,56.28
2017-01-14 07:00:00,70.06,66362,0.979995536,5,7,1,87.45,51.3,61.28
2017-01-14 08:00:00,72.89,68699,0.984810436,5,8,1,96.8,54,67.2
2017-01-14 09:00:00,73.49,69399,0.995736413,5,9,1,104.48,58.07,73.48
2017-01-14 10:00:00,69.19,68491,0.984627282,5,10,1,99.82,61.28,70.69
2017-01-14 11:00:00,67.94,68525,0.989599246,5,11,1,96.48,67.1,70.69
2017-01-14 12:00:00,61.23,67976,0.987652677,5,12,1,89.9,64.6,63.73
2017-01-14 13:00:00,59.03,65248,0.971269997,5,13,1,80.73,54.74,55.09
2017-01-14 14:00:00,58.41,63278,0.948797869,5,14,1,72.97,53,53.26
2017-01-14 15:00:00,58.03,62747,0.93805139,5,15,1,75.59,54.08,59.08
2017-01-14 16:00:00,72.89,65360,0.93596125,5,16,1,105.44,60.95,69.99
2017-01-14 17:00:00,85.48,70490,0.949367089,5,17,1,105.82,70.51,76.52
2017-01-14 18:00:00,81.79,72313,0.970221185,5,18,1,96.02,75.52,78.28
2017-01-14 19:00:00,75.93,69757,0.95531109,5,19,1,85,73.2,68.23
2017-01-14 20:00:00,69.75,66750,0.941478194,5,20,1,81.19,68.4,60
2017-01-14 21:00:00,72.89,65694,0.925152202,5,21,1,81.19,71.21,61.19
2017-01-14 22:00:00,70.31,69600,0.973187686,5,22,1,81.08,65.88,66.09
2017-01-14 23:00:00,64.87,69418,1.035471311,5,23,1,75,58,69.2
2017-01-15 00:00:00,58.65,66888,1.019456387,6,0,1,65.13,52.9,61.07
2017-01-15 01:00:00,55.08,65586,1.009069128,6,1,1,59.71,50.04,55.47
2017-01-15 02:00:00,51.59,61836,0.971818754,6,2,1,55.25,45.75,50.22
2017-01-15 03:00:00,50,59740,0.947709952,6,3,1,50.01,45.02,47.99
2017-01-15 04:00:00,50,59403,0.946044366,6,4,1,52.93,52.24,48
2017-01-15 05:00:00,51,60315,0.955674269,6,5,1,55.99,65.75,47.15
2017-01-15 06:00:00,52.19,62141,0.975907979,6,6,1,61.25,78.01,50.13
2017-01-15 07:00:00,55.19,64066,0.997478159,6,7,1,70.06,89.78,51.3
2017-01-15 08:00:00,63.91,66613,1.010064071,6,8,1,72.89,80,54
2017-01-15 09:00:00,66.13,69069,1.028909499,6,9,1,73.49,80,58.07
2017-01-15 10:00:00,67.37,69612,1.027488658,6,10,1,69.19,80,61.28
2017-01-15 11:00:00,71.38,70059,1.037545248,6,11,1,67.94,80,67.1
2017-01-15 12:00:00,65.77,70226,1.043294615,6,12,1,61.23,79.89,64.6
2017-01-15 13:00:00,58.53,66544,1.011723026,6,13,1,59.03,78.7,54.74
2017-01-15 14:00:00,57.51,64316,0.990621336,6,14,1,58.41,77,53
2017-01-15 15:00:00,57.12,63843,0.972896322,6,15,1,58.03,75.75,54.08
2017-01-15 16:00:00,69.75,66358,0.965976248,6,16,1,72.89,77.51,60.95
2017-01-15 17:00:00,88,71460,0.976730634,6,17,1,85.48,83.87,70.51
2017-01-15 18:00:00,82.38,74065,1.006216416,6,18,1,81.79,80.1,75.52
2017-01-15 19:00:00,79.37,72534,0.991858276,6,19,1,75.93,77.07,73.2
2017-01-15 20:00:00,76.55,69852,0.966763723,6,20,1,69.75,66.2,68.4
2017-01-15 21:00:00,75.83,68420,0.957480016,6,21,1,72.89,66.6,71.21
2017-01-15 22:00:00,69.75,71890,1.019338465,6,22,1,70.31,65.82,65.88
2017-01-15 23:00:00,57.29,69590,1.068794782,6,23,1,64.87,59.99,58
2017-01-16 00:00:00,51.38,67263,1.047390631,0,0,1,58.65,55.8,52.9
2017-01-16 01:00:00,48.01,67034,1.04546837,0,1,1,55.08,52.98,50.04
2017-01-16 02:00:00,41.89,64203,1.006906246,0,2,1,51.59,50,45.75
2017-01-16 03:00:00,40.98,62872,0.982017891,0,3,1,50,49.19,45.02
2017-01-16 04:00:00,48.98,65235,0.988542067,0,4,1,50,52.07,52.24
2017-01-16 05:00:00,66.83,70496,1.00191369,0,5,1,51,63.55,65.75
